count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6363,2000,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",N,0,188,20226,107,2776,885,80,127,441,923,509,2965,26262
6363,2000,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",S,1,191,21921,159,2769,996,113,107,383,915,623,3137,28177
6363,2001,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",N,2,255,20744,83,2483,1016,79,61,355,968,744,3223,26788
6363,2001,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",S,2,200,21403,110,2760,923,143,129,294,1000,737,3226,27699
6363,2002,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",N,1,226,23317,149,2761,1057,98,159,234,1336,503,3387,29840
6363,2002,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",S,1,172,21938,108,2632,842,96,134,217,1128,575,2992,27842
6363,2003,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",N,1,197,20421,70,2885,888,89,54,384,1048,592,3055,26628
6363,2003,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",S,0,130,18951,91,2190,782,103,64,268,1277,359,2853,24215
6363,2004,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",N,0,101,22151,75,2959,831,111,98,422,1151,659,3272,28558
6363,2004,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",S,0,130,20114,79,2650,780,131,69,274,1188,617,3059,26032
6363,2005,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",N,1,113,19933,65,2733,921,139,176,184,1299,683,3402,26246
6363,2005,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",S,0,113,20622,87,2815,799,107,88,310,1137,731,3172,26809
6363,2006,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",N,0,148,21032,48,3110,639,113,118,278,1322,639,3109,27447
6363,2006,9,"South East",142,Oxfordshire,A34,Major,A415,A4183,450120,200000,51.69651983,-1.27623531,4.60,2.86,Counted,"Manual count",S,0,145,22176,60,2952,649,124,134,184,1121,796,3008,28341
