count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
997250,9,"South East",142,Oxfordshire,C,Minor,,,474890,200710,51.70014918,-0.91775448,,
997228,9,"South East",142,Oxfordshire,B4009,Minor,,,470053,196139,51.65968052,-0.98864851,,
997224,9,"South East",142,Oxfordshire,C,Minor,,,469633,194116,51.64154617,-0.99512153,,
997116,9,"South East",142,Oxfordshire,U,Minor,,,447090,214818,51.83000168,-1.31806816,,
997096,9,"South East",142,Oxfordshire,U,Minor,,,444800,240500,52.06107582,-1.34795847,,
997039,9,"South East",142,Oxfordshire,C,Minor,,,435703,209131,51.77971351,-1.48388359,,
996996,9,"South East",142,Oxfordshire,B4507,Minor,,,429454,187182,51.58273396,-1.57630521,,
990505,9,"South East",142,Oxfordshire,B4495,Minor,,,453320,207770,51.76608019,-1.22875269,,
990085,9,"South East",142,Oxfordshire,B4027,Minor,,,453430,213110,51.81407738,-1.22633817,,
990084,9,"South East",142,Oxfordshire,B4493,Minor,,,451890,189922,51.60575346,-1.25212036,,
979249,9,"South East",142,Oxfordshire,C,Minor,,,451909,229274,51.95953623,-1.24597307,,
979203,9,"South East",142,Oxfordshire,C,Minor,,,433284,215648,51.83845431,-1.51832205,,
979180,9,"South East",142,Oxfordshire,B4017,Minor,,,445863,204424,51.73665705,-1.33724237,,
979118,9,"South East",142,Oxfordshire,U,Minor,,,452469,207958,51.76785058,-1.24105484,,
979092,9,"South East",142,Oxfordshire,U,Minor,,,460582,188600,51.59300205,-1.12685302,,
979078,9,"South East",142,Oxfordshire,U,Minor,,,461655,189373,51.59983531,-1.11122993,,
967658,9,"South East",142,Oxfordshire,U,Minor,,,454080,206400,51.75369085,-1.21795353,,
967657,9,"South East",142,Oxfordshire,U,Minor,,,451000,197550,51.67441417,-1.26386131,,
967654,9,"South East",142,Oxfordshire,U,Minor,,,451796,189077,51.59816509,-1.25360209,,
967652,9,"South East",142,Oxfordshire,U,Minor,,,454820,204380,51.73545881,-1.20755207,,
966794,9,"South East",142,Oxfordshire,U,Minor,,,475007,178457,51.50008565,-0.92081334,,
966791,9,"South East",142,Oxfordshire,B480,Minor,,,469800,192500,51.62699788,-0.99303028,,
966790,9,"South East",142,Oxfordshire,B4100,Minor,,,457000,226500,51.93410089,-1.17235034,,
966787,9,"South East",142,Oxfordshire,B4031,Minor,,,447400,231800,51.98264693,-1.31123960,,
966783,9,"South East",142,Oxfordshire,B4449,Minor,,,433536,202836,51.72325033,-1.51589834,,
965000,9,"South East",142,Oxfordshire,U,Minor,,,470000,206000,51.74833501,-0.98743798,,
964440,9,"South East",142,Oxfordshire,U,Minor,,,451100,210000,51.78633510,-1.26059182,,
962516,9,"South East",142,Oxfordshire,B4450,Minor,,,428200,224000,51.91382310,-1.59142922,,
962209,9,"South East",142,Oxfordshire,B478,Minor,,,475020,176100,51.47889477,-0.92112624,,
961624,9,"South East",142,Oxfordshire,B4022,Minor,,,436100,219000,51.86841626,-1.47710353,,
955382,9,"South East",142,Oxfordshire,U,Minor,,,425900,208220,51.77206042,-1.62604287,,
952603,9,"South East",142,Oxfordshire,U,Minor,,,466291,178909,51.50523691,-1.04627454,,
952535,9,"South East",142,Oxfordshire,U,Minor,,,429580,191820,51.62442790,-1.57409708,,
952241,9,"South East",142,Oxfordshire,U,Minor,,,459164,221582,51.88966357,-1.14172204,,
952227,9,"South East",142,Oxfordshire,U,Minor,,,451180,205250,51.74362386,-1.26013033,,
952219,9,"South East",142,Oxfordshire,U,Minor,,,447560,240890,52.06435240,-1.30764991,,
952214,9,"South East",142,Oxfordshire,U,Minor,,,442690,221670,51.89195647,-1.38106915,,
952208,9,"South East",142,Oxfordshire,U,Minor,,,437358,231071,51.97685693,-1.45752777,,
951857,9,"South East",142,Oxfordshire,U,Minor,,,423358,203880,51.73315116,-1.66317257,,
951856,9,"South East",142,Oxfordshire,B4000,Minor,,,428121,183458,51.54931700,-1.59583980,,
945967,9,"South East",142,Oxfordshire,U,Minor,,,452168,190367,51.60972861,-1.24804042,,
945966,9,"South East",142,Oxfordshire,U,Minor,,,424201,188948,51.59886134,-1.65199536,,
945965,9,"South East",142,Oxfordshire,U,Minor,,,455806,207943,51.76739200,-1.19270460,,
945964,9,"South East",142,Oxfordshire,U,Minor,,,427470,206280,51.75454366,-1.60344275,,
945963,9,"South East",142,Oxfordshire,U,Minor,,,452205,189549,51.60236900,-1.24762770,,
945962,9,"South East",142,Oxfordshire,U,Minor,,,449895,210195,51.78819672,-1.27803154,,
945961,9,"South East",142,Oxfordshire,U,Minor,,,460628,189354,51.59977577,-1.12605901,,
945960,9,"South East",142,Oxfordshire,U,Minor,,,451229,208401,51.77194600,-1.25895730,,
945959,9,"South East",142,Oxfordshire,U,Minor,,,475863,181852,51.53049000,-0.90775432,,
945958,9,"South East",142,Oxfordshire,U,Minor,,,431690,227152,51.94197428,-1.54040327,,
945957,9,"South East",142,Oxfordshire,U,Minor,,,451353,190322,51.60939700,-1.25981530,,
945956,9,"South East",142,Oxfordshire,U,Minor,,,457656,223789,51.90966196,-1.16326312,,
945955,9,"South East",142,Oxfordshire,U,Minor,,,454243,202269,51.71653500,-1.21623500,,
945954,9,"South East",142,Oxfordshire,U,Minor,,,447825,205728,51.74821700,-1.30865329,,
945953,9,"South East",142,Oxfordshire,U,Minor,,,427785,206131,51.75318855,-1.59889132,,
945952,9,"South East",142,Oxfordshire,U,Minor,,,452982,204482,51.73655219,-1.23415005,,
945951,9,"South East",142,Oxfordshire,U,Minor,,,453114,204954,51.74078100,-1.23216680,,
945950,9,"South East",142,Oxfordshire,U,Minor,,,450901,206701,51.75669419,-1.26395896,,
945949,9,"South East",142,Oxfordshire,U,Minor,,,455216,207408,51.76264236,-1.20133838,,
945948,9,"South East",142,Oxfordshire,U,Minor,,,453175,203115,51.72424300,-1.23156380,,
945947,9,"South East",142,Oxfordshire,U,Minor,,,446400,239459,52.05158588,-1.32476360,,
945946,9,"South East",142,Oxfordshire,U,Minor,,,434385,209185,51.78028128,-1.50298201,,
945945,9,"South East",142,Oxfordshire,U,Minor,,,454852,205400,51.74462400,-1.20692830,,
945944,9,"South East",142,Oxfordshire,U,Minor,,,455517,203135,51.72419751,-1.19765801,,
945943,9,"South East",142,Oxfordshire,U,Minor,,,440038,198342,51.68241900,-1.42228800,,
945942,9,"South East",142,Oxfordshire,U,Minor,,,453125,191000,51.61532900,-1.23412600,,
945941,9,"South East",142,Oxfordshire,U,Minor,,,439040,188162,51.59096445,-1.43785449,,
945940,9,"South East",142,Oxfordshire,U,Minor,,,428046,207874,51.76884662,-1.59497032,,
945939,9,"South East",142,Oxfordshire,U,Minor,,,443645,241045,52.06606600,-1.36473470,,
945938,9,"South East",142,Oxfordshire,U,Minor,,,453393,191088,51.61609616,-1.23024235,,
945937,9,"South East",142,Oxfordshire,U,Minor,,,440256,188148,51.59075200,-1.42030420,,
945936,9,"South East",142,Oxfordshire,U,Minor,,,447611,212756,51.81141959,-1.31079119,,
945935,9,"South East",142,Oxfordshire,U,Minor,,,457188,205123,51.74190237,-1.17314295,,
945934,9,"South East",142,Oxfordshire,U,Minor,,,447363,194138,51.64405400,-1.31691490,,
945933,9,"South East",142,Oxfordshire,U,Minor,,,434902,209845,51.78618322,-1.49542211,,
945932,9,"South East",142,Oxfordshire,U,Minor,,,446999,204458,51.73686885,-1.32078820,,
